country,code,iso3c,year,troops,army,navy,air,marine
United Kingdom,200,GBR,2006,11331,397,584,10280,70
United Kingdom,200,GBR,2007,10425,355,443,9552,75
United Kingdom,200,GBR,2008,9042,315,489,8169,69
United Kingdom,200,GBR,2009,8933,324,396,8143,70
United Kingdom,200,GBR,2010,8764,333,364,8004,63
United Kingdom,200,GBR,2011,8673,328,316,7977,52
United Kingdom,200,GBR,2012,8516,315,320,7823,58
United Kingdom,200,GBR,2013,9044,259,313,8428,44
United Kingdom,200,GBR,2014,8495,216,300,7938,40
United Kingdom,200,GBR,2015,8038,188,264,7543,43
Ireland,205,IRL,2006,8,2,0,0,6
Ireland,205,IRL,2007,7,2,0,0,5
Ireland,205,IRL,2008,1,1,0,0,0
Ireland,205,IRL,2009,3,1,1,1,0
Ireland,205,IRL,2010,3,1,1,1,0
Ireland,205,IRL,2011,2,1,0,1,0
Ireland,205,IRL,2012,8,1,0,2,5
Ireland,205,IRL,2013,9,1,1,1,6
Ireland,205,IRL,2014,7,1,0,1,5
Ireland,205,IRL,2015,10,1,0,1,8
Netherlands,210,NLD,2006,591,294,24,257,16
Netherlands,210,NLD,2007,579,298,23,244,14
Netherlands,210,NLD,2008,546,258,30,253,5
Netherlands,210,NLD,2009,495,233,29,228,5
Netherlands,210,NLD,2010,405,183,21,196,5
Netherlands,210,NLD,2011,384,174,15,191,4
Netherlands,210,NLD,2012,370,161,17,181,11
Netherlands,210,NLD,2013,350,122,18,195,15
Netherlands,210,NLD,2014,382,130,30,205,17
Netherlands,210,NLD,2015,370,129,28,199,14
Belgium,211,BEL,2006,1361,784,76,461,40
Belgium,211,BEL,2007,1328,730,93,479,26
Belgium,211,BEL,2008,1269,682,106,472,9
Belgium,211,BEL,2009,1244,672,119,447,6
Belgium,211,BEL,2010,1157,592,111,441,13
Belgium,211,BEL,2011,1176,630,102,429,15
Belgium,211,BEL,2012,1159,630,97,404,28
Belgium,211,BEL,2013,1155,598,109,420,28
Belgium,211,BEL,2014,1202,652,108,417,25
Belgium,211,BEL,2015,1202,663,107,405,27
Luxembourg,212,LUX,2006,9,3,0,0,6
Luxembourg,212,LUX,2007,6,0,0,0,6
Luxembourg,212,LUX,2008,0,0,0,0,0
Luxembourg,212,LUX,2009,0,0,0,0,0
Luxembourg,212,LUX,2010,0,0,0,0,0
Luxembourg,212,LUX,2011,0,0,0,0,0
Luxembourg,212,LUX,2012,6,0,0,0,6
Luxembourg,212,LUX,2013,6,0,0,0,6
Luxembourg,212,LUX,2014,5,0,0,0,5
Luxembourg,212,LUX,2015,9,0,0,0,9
France,220,FRA,2006,60,10,12,17,21
France,220,FRA,2007,55,16,6,15,18
France,220,FRA,2008,45,13,11,18,3
France,220,FRA,2009,58,23,15,18,2
France,220,FRA,2010,48,9,15,22,2
France,220,FRA,2011,58,19,13,24,2
France,220,FRA,2012,71,20,17,22,12
France,220,FRA,2013,67,19,15,21,12
France,220,FRA,2014,69,21,16,18,14
France,220,FRA,2015,69,18,16,17,18
Spain,230,ESP,2006,1521,94,913,321,193
Spain,230,ESP,2007,1286,97,726,298,165
Spain,230,ESP,2008,1308,87,836,345,40
Spain,230,ESP,2009,1358,94,857,376,31
Spain,230,ESP,2010,1396,60,871,432,33
Spain,230,ESP,2011,1591,96,1074,388,33
Spain,230,ESP,2012,1719,55,1076,408,180
Spain,230,ESP,2013,1915,25,1044,448,398
Spain,230,ESP,2014,3095,28,1706,507,854
Spain,230,ESP,2015,3393,26,2018,455,894
Portugal,235,PRT,2006,922,25,36,853,8
Portugal,235,PRT,2007,826,25,29,764,8
Portugal,235,PRT,2008,785,24,44,715,2
Portugal,235,PRT,2009,719,27,31,660,1
Portugal,235,PRT,2010,699,19,30,650,0
Portugal,235,PRT,2011,709,18,25,666,0
Portugal,235,PRT,2012,733,16,49,654,14
Portugal,235,PRT,2013,698,2,50,630,16
